id,title,authors,translators,role,include_in_stylometry,genre,genre_clean,original_language,source_edition,original_date,publication_date,date_basis,ip_status,text_stripped_path,text_nikud_path,path,title_year,heb_year_tok,year
10,חצי-נחמה,אחד העם,,author,True,Translation missing: he.article,article,,,1893.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/10.txt,authors/ahad_haam/corpus/nikud/10.txt,/p23/m10,,"תרנ""ג",1893.0
171,הקדמה לחלק השלישי,אחד העם,,author,True,Translation missing: he.article,article,,,1904.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/171.txt,authors/ahad_haam/corpus/nikud/171.txt,/p23/m171,,"תרס""ד",1904.0
220,חקוי של התבטלות,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/220.txt,authors/ahad_haam/corpus/nikud/220.txt,/p23/m220,,,
295,"""מעשׂינו""",אחד העם,,author,True,Translation missing: he.article,article,,,1897.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/295.txt,authors/ahad_haam/corpus/nikud/295.txt,/p23/m295,,"תרנ""ז",1897.0
448,"""סימן השאלה""",אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/448.txt,authors/ahad_haam/corpus/nikud/448.txt,/p23/m448,,,
452,איגרות אחד העם: שנת 1897,אחד העם,,author,True,Translation missing: he.letters,letters,,,1897.0,,letter_title,public_domain,authors/ahad_haam/corpus/stripped/452.txt,authors/ahad_haam/corpus/nikud/452.txt,/p23/m452,1897.0,,1897.0
548,לא זה הדרך! [מאמר ראשון],אחד העם,,author,True,Translation missing: he.article,article,,,1889.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/548.txt,authors/ahad_haam/corpus/nikud/548.txt,/p23/m548,,"תרמ""ט",1889.0
637,חקוי והתבוללות,אחד העם,,author,True,Translation missing: he.article,article,,,1893.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/637.txt,authors/ahad_haam/corpus/nikud/637.txt,/p23/m637,,"תרנ""ג",1893.0
694,מלים ומושגים,אחד העם,,author,True,Translation missing: he.article,article,,,1907.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/694.txt,authors/ahad_haam/corpus/nikud/694.txt,/p23/m694,,"תרס""ז",1907.0
774,על הגימנסיה העברית ביפו,אחד העם,,author,True,Translation missing: he.article,article,,,1912.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/774.txt,authors/ahad_haam/corpus/nikud/774.txt,/p23/m774,,"תרע""ב",1912.0
882,אגרות: שנת 1918,אחד העם,,author,True,Translation missing: he.letters,letters,,,1918.0,,letter_title,public_domain,authors/ahad_haam/corpus/stripped/882.txt,authors/ahad_haam/corpus/nikud/882.txt,/p23/m882,1918.0,,1918.0
933,שתי רשויות,אחד העם,,author,True,Translation missing: he.article,article,,,1892.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/933.txt,authors/ahad_haam/corpus/nikud/933.txt,/p23/m933,,"תרנ""ב",1892.0
1153,אמת מארץ ישראל מאמר שני,אחד העם,,author,True,Translation missing: he.article,article,,,1893.0,,external_verified,public_domain,authors/ahad_haam/corpus/stripped/1153.txt,authors/ahad_haam/corpus/nikud/1153.txt,/p23/m1153,,"תרנ""א",1893.0
1224,על שתי הסעפים,אחד העם,,author,True,Translation missing: he.article,article,,,1910.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/1224.txt,authors/ahad_haam/corpus/nikud/1224.txt,/p23/m1224,,"תר""ע",1910.0
1280,איגרות: שנת 1921,אחד העם,,author,True,Translation missing: he.letters,letters,,,1921.0,,letter_title,public_domain,authors/ahad_haam/corpus/stripped/1280.txt,authors/ahad_haam/corpus/nikud/1280.txt,/p23/m1280,1921.0,"תרע""ז",1921.0
1343,אגרות: שנת 1900,אחד העם,,author,True,Translation missing: he.letters,letters,,,1900.0,,letter_title,public_domain,authors/ahad_haam/corpus/stripped/1343.txt,authors/ahad_haam/corpus/nikud/1343.txt,/p23/m1343,1900.0,"תרס""א",1900.0
1415,הקדמה למהדורה ראשונה,אחד העם,,author,True,Translation missing: he.article,article,,,1895.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/1415.txt,authors/ahad_haam/corpus/nikud/1415.txt,/p23/m1415,,"תרנ""ה",1895.0
1478,הגיעה השעה!,אחד העם,,author,True,Translation missing: he.letters,letters,,,1907.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/1478.txt,authors/ahad_haam/corpus/nikud/1478.txt,/p23/m1478,,"תרס""ז",1907.0
1539,בנין,אחד העם,,author,True,Translation missing: he.article,article,,"נדפס במכה“ע ”הזמן"" גליון 53 (ג' אב תרס""ג)",1903.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/1539.txt,authors/ahad_haam/corpus/nikud/1539.txt,/p23/m1539,,"תרס""ג",1903.0
1594,סופרינו וקוראינו,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/1594.txt,authors/ahad_haam/corpus/nikud/1594.txt,/p23/m1594,,,
1654,איגרות אחד העם: הקדמה,אחד העם,,author,True,Translation missing: he.letters,letters,,,1923.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/1654.txt,authors/ahad_haam/corpus/nikud/1654.txt,/p23/m1654,,"תרפ""ג",1923.0
1712,כוח המעשׂים,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/1712.txt,authors/ahad_haam/corpus/nikud/1712.txt,/p23/m1712,,,
1777,שמות שנתרוקנו מתכנם,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/1777.txt,authors/ahad_haam/corpus/nikud/1777.txt,/p23/m1777,,,
1832,"""בעקבות משיחא""",אחד העם,,author,True,Translation missing: he.article,article,,,1907.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/1832.txt,authors/ahad_haam/corpus/nikud/1832.txt,/p23/m1832,,"תרס""ז",1907.0
1899,הקונגרס הציוני השלישי,אחד העם,,author,True,Translation missing: he.article,article,,,1900.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/1899.txt,authors/ahad_haam/corpus/nikud/1899.txt,/p23/m1899,,"תר""ס",1900.0
1965,אַבְטוֹאֵימַנְצִיפַּצִיָא (אוטואמנציפציה),יהודה לייב (לאון) פינסקר,אחד העם,translator,False,Translation missing: he.article,article,de,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/1965.txt,authors/ahad_haam/corpus/nikud/1965.txt,/p23/m1965,,,
2029,המוסר הלאומי,אחד העם,,author,False,Translation missing: he.reference,reference,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/2029.txt,authors/ahad_haam/corpus/nikud/2029.txt,/p23/m2029,,,
2097,כהן ונביא,אחד העם,,author,True,Translation missing: he.article,article,,,1893.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2097.txt,authors/ahad_haam/corpus/nikud/2097.txt,/p23/m2097,,"תרנ""ג",1893.0
2161,הפרוגרס ושנאת ישראל,אחד העם,,author,True,Translation missing: he.article,article,,,1898.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2161.txt,authors/ahad_haam/corpus/nikud/2161.txt,/p23/m2161,,"תרנ""ח",1898.0
2220,"""קול ישׂראל""",אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/2220.txt,authors/ahad_haam/corpus/nikud/2220.txt,/p23/m2220,,,
2281,סבלנות!,אחד העם,,author,True,Translation missing: he.letters,letters,,,1894.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2281.txt,authors/ahad_haam/corpus/nikud/2281.txt,/p23/m2281,,"תרנ""ד",1894.0
2342,הכהנים והעם,אחד העם,,author,True,Translation missing: he.article,article,,,1891.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2342.txt,authors/ahad_haam/corpus/nikud/2342.txt,/p23/m2342,,"תרנ""א",1891.0
2408,שלוש מדרגות,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/2408.txt,authors/ahad_haam/corpus/nikud/2408.txt,/p23/m2408,,,
2469,תורה שבלב,אחד העם,,author,True,Translation missing: he.letters,letters,,"נדפס ב'פרדס' ב' (אודיסא תרנ""ד).",1894.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2469.txt,authors/ahad_haam/corpus/nikud/2469.txt,/p23/m2469,,"תרנ""ד",1894.0
2529,היובל,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/2529.txt,authors/ahad_haam/corpus/nikud/2529.txt,/p23/m2529,,,
2594,התורה והעבודה,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/2594.txt,authors/ahad_haam/corpus/nikud/2594.txt,/p23/m2594,,,
2655,בין קודש לחול,אחד העם,,author,True,Translation missing: he.article,article,,,1892.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2655.txt,authors/ahad_haam/corpus/nikud/2655.txt,/p23/m2655,,"תרנ""ב",1892.0
2723,הקונגרס הציוני השני,אחד העם,,author,True,Translation missing: he.article,article,,,1899.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2723.txt,authors/ahad_haam/corpus/nikud/2723.txt,/p23/m2723,,"תרנ""ט",1899.0
2786,שבת וציוניות,אחד העם,,author,True,Translation missing: he.article,article,,,1898.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2786.txt,authors/ahad_haam/corpus/nikud/2786.txt,/p23/m2786,,תרנ״ח,1898.0
2847,הבוכים,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/2847.txt,authors/ahad_haam/corpus/nikud/2847.txt,/p23/m2847,,,
2913,"ד""ר פינסקר ומחברתו",אחד העם,,author,True,Translation missing: he.letters,letters,,,1892.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2913.txt,authors/ahad_haam/corpus/nikud/2913.txt,/p23/m2913,,"תרנ""ב",1892.0
2977,אמת מארץ ישראל מאמר ראשון,אחד העם,,author,True,Translation missing: he.article,article,,,1891.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2977.txt,authors/ahad_haam/corpus/nikud/2977.txt,/p23/m2977,,"תרנ""א",1891.0
2998,אל הקוראים,אחד העם,,author,True,Translation missing: he.article,article,,,1903.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/2998.txt,authors/ahad_haam/corpus/nikud/2998.txt,/p23/m2998,,תרס״ג,1903.0
3010,על דבר אוצר היהדות בלשון עברית,אחד העם,,author,True,Translation missing: he.article,article,,,1894.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/3010.txt,authors/ahad_haam/corpus/nikud/3010.txt,/p23/m3010,,תרנ״ד,1894.0
3024,בשר ורוח,אחד העם,,author,True,Translation missing: he.article,article,,,1904.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/3024.txt,authors/ahad_haam/corpus/nikud/3024.txt,/p23/m3024,,"תרס""ד",1904.0
3105,נחלת אבות,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/3105.txt,authors/ahad_haam/corpus/nikud/3105.txt,/p23/m3105,,,
3238,"מלואים ל""אמת לארץ-ישראל""",אחד העם,,author,True,Translation missing: he.article,article,,,1894.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/3238.txt,authors/ahad_haam/corpus/nikud/3238.txt,/p23/m3238,,"תרנ""ד",1894.0
3292,משה,אחד העם,,author,True,Translation missing: he.article,article,,,1904.0,,external_verified,public_domain,authors/ahad_haam/corpus/stripped/3292.txt,authors/ahad_haam/corpus/nikud/3292.txt,/p23/m3292,,,1904.0
3361,דרך החיים,אחד העם,,author,True,Translation missing: he.article,article,,,1889.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/3361.txt,authors/ahad_haam/corpus/nikud/3361.txt,/p23/m3361,,"תרמ""ט",1889.0
3412,השומרונים,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/3412.txt,authors/ahad_haam/corpus/nikud/3412.txt,/p23/m3412,,,
3546,איגרות: שנת 1920,אחד העם,,author,True,Translation missing: he.letters,letters,,,1920.0,,letter_title,public_domain,authors/ahad_haam/corpus/stripped/3546.txt,authors/ahad_haam/corpus/nikud/3546.txt,/p23/m3546,1920.0,,1920.0
3602,חשבון הנפש,אחד העם,,author,True,Translation missing: he.article,article,,,1890.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/3602.txt,authors/ahad_haam/corpus/nikud/3602.txt,/p23/m3602,,"תר""נ",1890.0
3676,"""הוכּוּח""",אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/3676.txt,authors/ahad_haam/corpus/nikud/3676.txt,/p23/m3676,,,
3752,"""מלה חדשה""",אחד העם,,author,True,Translation missing: he.article,article,,,1903.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/3752.txt,authors/ahad_haam/corpus/nikud/3752.txt,/p23/m3752,,"תרס""ג",1903.0
3897,"מילואים ל""אמת מארץ-ישראל"" למאמר ראשון",אחד העם,,author,True,Translation missing: he.article,article,,,1891.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/3897.txt,authors/ahad_haam/corpus/nikud/3897.txt,/p23/m3897,,"תרנ""א",1891.0
3935,פצעי אוהב,אחד העם,,author,True,Translation missing: he.article,article,,,1891.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/3935.txt,authors/ahad_haam/corpus/nikud/3935.txt,/p23/m3935,,"תרנ""א",1891.0
3989,שאלה של עורך,אחד העם,,author,True,Translation missing: he.article,article,,,1902.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/3989.txt,authors/ahad_haam/corpus/nikud/3989.txt,/p23/m3989,,"תרס""ב",1902.0
4063,גואל חדש,אחד העם,,author,True,Translation missing: he.article,article,,,1900.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/4063.txt,authors/ahad_haam/corpus/nikud/4063.txt,/p23/m4063,,"תר""ס",1900.0
4185,מוקדם ומאוחר בחיים,אחד העם,,author,True,Translation missing: he.article,article,,,1891.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/4185.txt,authors/ahad_haam/corpus/nikud/4185.txt,/p23/m4185,,"תרנ""א",1891.0
4223,מהפכה ספרותית,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/4223.txt,authors/ahad_haam/corpus/nikud/4223.txt,/p23/m4223,,,
4313,יחיד ורבים,אחד העם,,author,True,Translation missing: he.article,article,,,1899.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/4313.txt,authors/ahad_haam/corpus/nikud/4313.txt,/p23/m4313,,"תרנ""ט",1899.0
4383,בית הספר ביפו ושאלת הפועלים,אחד העם,,author,True,Translation missing: he.article,article,,,1893.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/4383.txt,authors/ahad_haam/corpus/nikud/4383.txt,/p23/m4383,,"תרנ""ג",1893.0
4500,תחית הרוח,אחד העם,,author,True,Translation missing: he.article,article,,,1902.0,,external_verified,public_domain,authors/ahad_haam/corpus/stripped/4500.txt,authors/ahad_haam/corpus/nikud/4500.txt,/p23/m4500,,,1902.0
4580,הצעות ספרותיות,אחד העם,,author,True,Translation missing: he.article,article,,,1898.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/4580.txt,authors/ahad_haam/corpus/nikud/4580.txt,/p23/m4580,,תרנ״ח,1898.0
4640,איוב ופרומיתיוס,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/4640.txt,authors/ahad_haam/corpus/nikud/4640.txt,/p23/m4640,,,
4715,קל מבשר,אחד העם,,author,True,Translation missing: he.letters,letters,,,1904.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/4715.txt,authors/ahad_haam/corpus/nikud/4715.txt,/p23/m4715,,"תרס""ד",1904.0
4843,איגרות אחד העם: שנת 1896,אחד העם,,author,True,Translation missing: he.letters,letters,,,1896.0,,letter_title,public_domain,authors/ahad_haam/corpus/stripped/4843.txt,authors/ahad_haam/corpus/nikud/4843.txt,/p23/m4843,1896.0,,1896.0
4943,פרידה,אחד העם,,author,True,Translation missing: he.letters,letters,,,1903.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/4943.txt,authors/ahad_haam/corpus/nikud/4943.txt,/p23/m4943,,"תרס""ג",1903.0
5011,ספרי עם,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/5011.txt,authors/ahad_haam/corpus/nikud/5011.txt,/p23/m5011,,,
5086,לתולדות החיוב והשלילה,אחד העם,,author,True,Translation missing: he.article,article,,,1891.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/5086.txt,authors/ahad_haam/corpus/nikud/5086.txt,/p23/m5086,,"תרנ""א",1891.0
5211,החלוקה,אחד העם,,author,True,Translation missing: he.article,article,,,1897.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/5211.txt,authors/ahad_haam/corpus/nikud/5211.txt,/p23/m5211,,"תרנ""ז",1897.0
5272,א. שלש מדרגות,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/5272.txt,authors/ahad_haam/corpus/nikud/5272.txt,/p23/m5272,,,
5337,"""שלילת הגלות""",אחד העם,,author,True,Translation missing: he.article,article,,,1909.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/5337.txt,authors/ahad_haam/corpus/nikud/5337.txt,/p23/m5337,,"תרס""ט",1909.0
5402,אספה של חובבי ציון,אחד העם,,author,True,Translation missing: he.article,article,,,1901.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/5402.txt,authors/ahad_haam/corpus/nikud/5402.txt,/p23/m5402,,תרס״א,1901.0
5527,"""אלטניילנד""",אחד העם,,author,True,Translation missing: he.article,article,,,1903.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/5527.txt,authors/ahad_haam/corpus/nikud/5527.txt,/p23/m5527,,"תרס""ג",1903.0
5589,האחרון,אחד העם,,author,True,Translation missing: he.article,article,,,1910.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/5589.txt,authors/ahad_haam/corpus/nikud/5589.txt,/p23/m5589,,"תר""ע",1910.0
5598,איגרות: שנת 1904,אחד העם,,author,True,Translation missing: he.letters,letters,,,1904.0,,letter_title,public_domain,authors/ahad_haam/corpus/stripped/5598.txt,authors/ahad_haam/corpus/nikud/5598.txt,/p23/m5598,1904.0,,1904.0
5655,מצוה הבאה בעבירה,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/5655.txt,authors/ahad_haam/corpus/nikud/5655.txt,/p23/m5655,,,
5711,לפני הקונגרס היהודי השני,אחד העם,,author,True,Translation missing: he.article,article,,,1898.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/5711.txt,authors/ahad_haam/corpus/nikud/5711.txt,/p23/m5711,,"תרנ""ח",1898.0
5853,הקדמה למהדורה שניה,אחד העם,,author,True,Translation missing: he.article,article,,,1902.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/5853.txt,authors/ahad_haam/corpus/nikud/5853.txt,/p23/m5853,,"תרס""ב",1902.0
5914,מאמר שני - הישוב ואפיטרופסיו,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/5914.txt,authors/ahad_haam/corpus/nikud/5914.txt,/p23/m5914,,,
5981,אמת מרה,אחד העם,,author,True,Translation missing: he.article,article,,,,,undated,public_domain,authors/ahad_haam/corpus/stripped/5981.txt,authors/ahad_haam/corpus/nikud/5981.txt,/p23/m5981,,,
6046,שלוחי עם עני,אחד העם,,author,True,Translation missing: he.article,article,,,1901.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/6046.txt,authors/ahad_haam/corpus/nikud/6046.txt,/p23/m6046,,"תרס""א",1901.0
6174,מאמר ראשון – בתי הספר ביפו,אחד העם,,author,True,Translation missing: he.article,article,,,1901.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/6174.txt,authors/ahad_haam/corpus/nikud/6174.txt,/p23/m6174,,"תרס""א",1901.0
6235,דיבור ושתיקה,אחד העם,,author,True,Translation missing: he.article,article,,,1898.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/6235.txt,authors/ahad_haam/corpus/nikud/6235.txt,/p23/m6235,,"תרנ""ח",1898.0
6293,אגרות: שנת 1899,אחד העם,,author,True,Translation missing: he.letters,letters,,,1899.0,,letter_title,public_domain,authors/ahad_haam/corpus/stripped/6293.txt,authors/ahad_haam/corpus/nikud/6293.txt,/p23/m6293,1899.0,"תרנ""ג",1899.0
6303,"מדינת-היהודים ו""צרת-היהודים""",אחד העם,,author,True,Translation missing: he.article,article,,,1898.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/6303.txt,authors/ahad_haam/corpus/nikud/6303.txt,/p23/m6303,,"תרנ""ח",1898.0
6370,דברי שלום,אחד העם,,author,True,Translation missing: he.article,article,,,1895.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/6370.txt,authors/ahad_haam/corpus/nikud/6370.txt,/p23/m6370,,"תרנ""ה",1895.0
6498,דור תהפוכות,אחד העם,,author,True,Translation missing: he.article,article,,,1897.0,,essay_pub_note,public_domain,authors/ahad_haam/corpus/stripped/6498.txt,authors/ahad_haam/corpus/nikud/6498.txt,/p23/m6498,,"תרנ""ז",1897.0
