id,title,authors,translators,role,include_in_stylometry,genre,genre_clean,original_language,source_edition,original_date,publication_date,date_basis,ip_status,text_stripped_path,text_nikud_path,path,year,edition_date,exact_date,date_verdict,date_confidence,date_source,user_year,nonby_date,nonby_source
13088,מִכָּל הָעַמִּים,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1942,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13088.txt,authors/alterman/corpus/nikud/13088.txt,https://benyehuda.org/read/13088,1942.0,1971.0,,user_kept_nonby,user,,1942,27.11.1942,https://he.wikipedia.org/wiki/מכל_העמים
13089,מִכְתָּב שֶׁל מְנַחֵם־מֶנְדְּל,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1968,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13089.txt,authors/alterman/corpus/nikud/13089.txt,https://benyehuda.org/read/13089,1968.0,1971.0,,user_kept_nonby,user,,1968,09.03.1945,https://he.wikipedia.org/wiki/מכתבו_של_מנחם_מנדל
13090,עַל הַיֶּלֶד אַבְרָם,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1968,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13090.txt,authors/alterman/corpus/nikud/13090.txt,https://benyehuda.org/read/13090,1968.0,1971.0,,user_kept_nonby,user,,1968,26.04.1946,https://merkazruach.nli.org.il/lesson/l-hyld-brm
13091,"""אִמָּא, כְּבָר מֻתָּר לִבְכּוֹת?""",נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1968,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13091.txt,authors/alterman/corpus/nikud/13091.txt,https://benyehuda.org/read/13091,1968.0,1971.0,,user_kept_nonby,user,,1968,19.10.1945,https://www.inn.co.il/news/636648
13092,מַגַּשׁ הַכֶּסֶף,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1947,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13092.txt,authors/alterman/corpus/nikud/13092.txt,https://benyehuda.org/read/13092,1947.0,1971.0,,user_kept_nonby,user,,1947,19.12.1947,https://he.wikipedia.org/wiki/מגש_הכסף
13093,נְאוּם תְּשׁוּבָה לְרַב־חוֹבְלִים אִיטַלְקִי אַחַר לֵיל הוֹרָדָה,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1945,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13093.txt,authors/alterman/corpus/nikud/13093.txt,https://benyehuda.org/read/13093,1945.0,1971.0,,user_kept_nonby,user,,1945,15.01.1946,https://he.wikipedia.org/wiki/נאום_תשובה_לרב-חובלים_איטלקי
13094,דּוּ שִׂיחַ,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1957,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13094.txt,authors/alterman/corpus/nikud/13094.txt,https://benyehuda.org/read/13094,1957.0,1962.0,,confirmed,med,https://benyehuda.org/read/13094,1957,,
13095,לֵיל חֲנָיָה,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1957,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13095.txt,authors/alterman/corpus/nikud/13095.txt,https://benyehuda.org/read/13095,1957.0,1962.0,,confirmed,med,https://benyehuda.org/read/13095,1957,,
13096,אָמְרָה חֶרֶב הַנְּצוּרִים,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1943,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13096.txt,authors/alterman/corpus/nikud/13096.txt,https://benyehuda.org/read/13096,1943.0,1962.0,,conflict,low,https://benyehuda.org/read/13096,1941,,
13097,הִנֵּה תַּמּוּ יוֹם קְרָב וְעַרְבּוֹ,נתן אלתרמן,,author,True,poetry,poetry,he,פרויקט בן-יהודה,1941,2019-06-20,original,by_permission,authors/alterman/corpus/stripped/13097.txt,authors/alterman/corpus/nikud/13097.txt,https://benyehuda.org/read/13097,1941.0,1962.0,,user_kept_nonby,user,,1941,1944,https://www.zemereshet.co.il/song.asp?id=91
