author,bucket_kind,bucket,kind,item,per_1000
ahad_haam,לפי עשור,1880-,content,לא,19.42
ahad_haam,לפי עשור,1880-,content,גם,7.94
ahad_haam,לפי עשור,1880-,content,לב,7.54
ahad_haam,לפי עשור,1880-,content,דבר,6.98
ahad_haam,לפי עשור,1880-,content,עם,5.7
ahad_haam,לפי עשור,1880-,content,איש,5.3
ahad_haam,לפי עשור,1880-,content,עוד,5.14
ahad_haam,לפי עשור,1880-,content,חי,5.06
ahad_haam,לפי עשור,1880-,content,רעיון,4.98
ahad_haam,לפי עשור,1880-,content,ארץ,4.57
ahad_haam,לפי עשור,1880-,content,אין,4.49
ahad_haam,לפי עשור,1880-,content,מעשה,4.41
ahad_haam,לפי עשור,1880-,content,עבודה,4.17
ahad_haam,לפי עשור,1880-,content,לאומי,4.09
ahad_haam,לפי עשור,1880-,content,ישראל,3.61
ahad_haam,לפי עשור,1880-,content,יום,3.61
ahad_haam,לפי עשור,1880-,content,בא,3.29
ahad_haam,לפי עשור,1880-,content,זמן,3.29
ahad_haam,לפי עשור,1880-,content,כוח,3.13
ahad_haam,לפי עשור,1880-,content,יד,3.13
ahad_haam,לפי עשור,1880-,content,רגש,3.05
ahad_haam,לפי עשור,1880-,content,מה,2.97
ahad_haam,לפי עשור,1880-,content,רק,2.97
ahad_haam,לפי עשור,1880-,content,דרך,2.89
ahad_haam,לפי עשור,1880-,content,פרטי,2.81
ahad_haam,לפי עשור,1880-,content,אז,2.73
ahad_haam,לפי עשור,1880-,content,יותר,2.73
ahad_haam,לפי עשור,1880-,content,שנה,2.65
ahad_haam,לפי עשור,1880-,content,רב,2.65
ahad_haam,לפי עשור,1880-,content,גדול,2.65
ahad_haam,לפי עשור,1880-,func,על,16.77
ahad_haam,לפי עשור,1880-,func,את,15.65
ahad_haam,לפי עשור,1880-,func,הוא,13.88
ahad_haam,לפי עשור,1880-,func,כי,13.08
ahad_haam,לפי עשור,1880-,func,זה,13.0
ahad_haam,לפי עשור,1880-,func,כל,10.19
ahad_haam,לפי עשור,1880-,func,היי,9.63
ahad_haam,לפי עשור,1880-,func,אשר,8.02
ahad_haam,לפי עשור,1880-,func,של,6.58
ahad_haam,לפי עשור,1880-,func,אם,6.26
ahad_haam,לפי עשור,1880-,func,לו,4.73
ahad_haam,לפי עשור,1880-,func,עצם,4.57
ahad_haam,לפי עשור,1880-,func,אל,4.41
ahad_haam,לפי עשור,1880-,func,כול,4.41
ahad_haam,לפי עשור,1880-,func,אלה,4.25
ahad_haam,לפי עשור,1880-,func,אני,3.77
ahad_haam,לפי עשור,1880-,func,עד,3.61
ahad_haam,לפי עשור,1880-,func,כן,3.21
ahad_haam,לפי עשור,1880-,func,לי,3.05
ahad_haam,לפי עשור,1880-,func,אך,2.65
ahad_haam,לפי עשור,1880-,func,בין,2.49
ahad_haam,לפי עשור,1880-,func,או,2.49
ahad_haam,לפי עשור,1880-,func,אבל,2.49
ahad_haam,לפי עשור,1880-,func,אלא,2.17
ahad_haam,לפי עשור,1880-,func,מן,2.01
ahad_haam,לפי עשור,1880-,func,לפני,1.52
ahad_haam,לפי עשור,1880-,func,לפי,1.52
ahad_haam,לפי עשור,1880-,func,מפני,1.52
ahad_haam,לפי עשור,1880-,func,אינו,1.44
ahad_haam,לפי עשור,1880-,func,יכול,1.44
ahad_haam,לפי עשור,1880-,feats,Number=Sing,360.62
ahad_haam,לפי עשור,1880-,feats,Gender=Masc,323.86
ahad_haam,לפי עשור,1880-,feats,Gender=Fem,157.44
ahad_haam,לפי עשור,1880-,feats,Number=Plur,149.57
ahad_haam,לפי עשור,1880-,feats,Person=3,109.21
ahad_haam,לפי עשור,1880-,feats,Tense=Past,49.11
ahad_haam,לפי עשור,1880-,feats,"Person=1,2,3",28.97
ahad_haam,לפי עשור,1880-,feats,"Gender=Fem,Masc",25.76
ahad_haam,לפי עשור,1880-,feats,Tense=Fut,24.63
ahad_haam,לפי עשור,1880-,feats,Person=1,17.01
ahad_haam,לפי עשור,1880-,feats,Person=2,2.73
ahad_haam,לפי עשור,1880-,feats,Tense=Pres,1.6
