author,bucket_kind,bucket,kind,item,per_1000
ahad_haam,לפי תקופה,early (1889-1895),content,לא,16.2
ahad_haam,לפי תקופה,early (1889-1895),content,גם,9.41
ahad_haam,לפי תקופה,early (1889-1895),content,דבר,5.98
ahad_haam,לפי תקופה,early (1889-1895),content,עוד,4.99
ahad_haam,לפי תקופה,early (1889-1895),content,לב,4.87
ahad_haam,לפי תקופה,early (1889-1895),content,חי,4.6
ahad_haam,לפי תקופה,early (1889-1895),content,אין,4.31
ahad_haam,לפי תקופה,early (1889-1895),content,עם,3.73
ahad_haam,לפי תקופה,early (1889-1895),content,רק,3.65
ahad_haam,לפי תקופה,early (1889-1895),content,יד,3.59
ahad_haam,לפי תקופה,early (1889-1895),content,ישראל,3.51
ahad_haam,לפי תקופה,early (1889-1895),content,איש,3.46
ahad_haam,לפי תקופה,early (1889-1895),content,רב,3.15
ahad_haam,לפי תקופה,early (1889-1895),content,גדול,3.14
ahad_haam,לפי תקופה,early (1889-1895),content,אז,3.14
ahad_haam,לפי תקופה,early (1889-1895),content,בא,3.03
ahad_haam,לפי תקופה,early (1889-1895),content,זמן,2.95
ahad_haam,לפי תקופה,early (1889-1895),content,אחר,2.9
ahad_haam,לפי תקופה,early (1889-1895),content,ארץ,2.89
ahad_haam,לפי תקופה,early (1889-1895),content,יום,2.88
ahad_haam,לפי תקופה,early (1889-1895),content,ספר,2.85
ahad_haam,לפי תקופה,early (1889-1895),content,דרך,2.81
ahad_haam,לפי תקופה,early (1889-1895),content,יותר,2.61
ahad_haam,לפי תקופה,early (1889-1895),content,כוח,2.57
ahad_haam,לפי תקופה,early (1889-1895),content,מה,2.54
ahad_haam,לפי תקופה,early (1889-1895),content,שם,2.52
ahad_haam,לפי תקופה,early (1889-1895),content,רוח,2.49
ahad_haam,לפי תקופה,early (1889-1895),content,טוב,2.38
ahad_haam,לפי תקופה,early (1889-1895),content,פה,2.36
ahad_haam,לפי תקופה,early (1889-1895),content,חדש,2.35
ahad_haam,לפי תקופה,early (1889-1895),func,על,17.12
ahad_haam,לפי תקופה,early (1889-1895),func,את,16.41
ahad_haam,לפי תקופה,early (1889-1895),func,זה,14.54
ahad_haam,לפי תקופה,early (1889-1895),func,הוא,13.96
ahad_haam,לפי תקופה,early (1889-1895),func,היי,11.03
ahad_haam,לפי תקופה,early (1889-1895),func,כי,10.81
ahad_haam,לפי תקופה,early (1889-1895),func,כל,10.69
ahad_haam,לפי תקופה,early (1889-1895),func,אם,6.22
ahad_haam,לפי תקופה,early (1889-1895),func,של,6.12
ahad_haam,לפי תקופה,early (1889-1895),func,אשר,5.93
ahad_haam,לפי תקופה,early (1889-1895),func,אלה,5.08
ahad_haam,לפי תקופה,early (1889-1895),func,אני,5.01
ahad_haam,לפי תקופה,early (1889-1895),func,כול,4.58
