author,bucket_kind,bucket,kind,item,per_1000
alterman,לפי עשור,1930-,content,לא,10.67
alterman,לפי עשור,1930-,content,אין,4.8
alterman,לפי עשור,1930-,content,גם,4.07
alterman,לפי עשור,1930-,content,יותר,3.53
alterman,לפי עשור,1930-,content,חי,3.38
alterman,לפי עשור,1930-,content,רק,3.19
alterman,לפי עשור,1930-,content,דבר,2.92
alterman,לפי עשור,1930-,content,יום,2.69
alterman,לפי עשור,1930-,content,רב,2.46
alterman,לפי עשור,1930-,content,בית,2.46
alterman,לפי עשור,1930-,content,בא,2.38
alterman,לפי עשור,1930-,content,כאן,2.34
alterman,לפי עשור,1930-,content,גדול,2.34
alterman,לפי עשור,1930-,content,אדם,2.15
alterman,לפי עשור,1930-,content,יש,2.15
alterman,לפי עשור,1930-,content,עולם,2.15
alterman,לפי עשור,1930-,content,כול,2.03
alterman,לפי עשור,1930-,content,דרך,1.88
alterman,לפי עשור,1930-,content,מקום,1.77
alterman,לפי עשור,1930-,content,טוב,1.61
alterman,לפי עשור,1930-,content,שם,1.54
alterman,לפי עשור,1930-,content,אור,1.54
alterman,לפי עשור,1930-,content,פנים,1.5
alterman,לפי עשור,1930-,content,ספרות,1.46
alterman,לפי עשור,1930-,content,שיר,1.38
alterman,לפי עשור,1930-,content,כך,1.38
alterman,לפי עשור,1930-,content,לב,1.38
alterman,לפי עשור,1930-,content,אז,1.38
alterman,לפי עשור,1930-,content,כוח,1.38
alterman,לפי עשור,1930-,content,חדש,1.34
alterman,לפי עשור,1930-,func,את,23.19
alterman,לפי עשור,1930-,func,הוא,17.77
alterman,לפי עשור,1930-,func,על,13.78
alterman,לפי עשור,1930-,func,זה,12.05
alterman,לפי עשור,1930-,func,של,12.01
alterman,לפי עשור,1930-,func,היי,6.68
alterman,לפי עשור,1930-,func,כל,6.6
alterman,לפי עשור,1930-,func,כי,6.18
alterman,לפי עשור,1930-,func,אני,4.53
alterman,לפי עשור,1930-,func,אל,3.76
alterman,לפי עשור,1930-,func,אבל,3.53
alterman,לפי עשור,1930-,func,כול,3.38
alterman,לפי עשור,1930-,func,מן,2.96
alterman,לפי עשור,1930-,func,לו,2.88
alterman,לפי עשור,1930-,func,בין,2.8
alterman,לפי עשור,1930-,func,אינו,2.69
alterman,לפי עשור,1930-,func,אלה,2.69
alterman,לפי עשור,1930-,func,אשר,2.65
alterman,לפי עשור,1930-,func,או,2.42
alterman,לפי עשור,1930-,func,עד,2.26
alterman,לפי עשור,1930-,func,אם,2.23
alterman,לפי עשור,1930-,func,כמו,2.07
alterman,לפי עשור,1930-,func,אלא,2.07
alterman,לפי עשור,1930-,func,עצם,2.03
alterman,לפי עשור,1930-,func,עם,1.96
alterman,לפי עשור,1930-,func,לה,1.88
alterman,לפי עשור,1930-,func,לי,1.77
alterman,לפי עשור,1930-,func,אך,1.65
alterman,לפי עשור,1930-,func,כמה,1.57
alterman,לפי עשור,1930-,func,מתוך,1.54
alterman,לפי עשור,1930-,feats,Number=Sing,382.79
alterman,לפי עשור,1930-,feats,Gender=Masc,324.13
alterman,לפי עשור,1930-,feats,Gender=Fem,175.62
alterman,לפי עשור,1930-,feats,Number=Plur,135.35
alterman,לפי עשור,1930-,feats,Person=3,93.51
alterman,לפי עשור,1930-,feats,"Person=1,2,3",44.41
alterman,לפי עשור,1930-,feats,Tense=Past,42.76
