author,bucket_kind,bucket,kind,item,per_1000
alterman,לפי תקופה,early (1931-1967),content,לא,12.37
alterman,לפי תקופה,early (1931-1967),content,גם,5.67
alterman,לפי תקופה,early (1931-1967),content,אין,4.89
alterman,לפי תקופה,early (1931-1967),content,דבר,4.74
alterman,לפי תקופה,early (1931-1967),content,יום,3.77
alterman,לפי תקופה,early (1931-1967),content,רק,3.6
alterman,לפי תקופה,early (1931-1967),content,חי,3.25
alterman,לפי תקופה,early (1931-1967),content,יותר,3.05
alterman,לפי תקופה,early (1931-1967),content,יש,2.78
alterman,לפי תקופה,early (1931-1967),content,יהודי,2.54
alterman,לפי תקופה,early (1931-1967),content,עניין,2.53
alterman,לפי תקופה,early (1931-1967),content,דרך,2.42
alterman,לפי תקופה,early (1931-1967),content,ישראל,2.35
alterman,לפי תקופה,early (1931-1967),content,עולם,2.32
alterman,לפי תקופה,early (1931-1967),content,רב,2.29
alterman,לפי תקופה,early (1931-1967),content,שעה,2.29
alterman,לפי תקופה,early (1931-1967),content,כאן,2.22
alterman,לפי תקופה,early (1931-1967),content,ארץ,1.96
alterman,לפי תקופה,early (1931-1967),content,אחר,1.95
alterman,לפי תקופה,early (1931-1967),content,מקום,1.82
alterman,לפי תקופה,early (1931-1967),content,יד,1.81
alterman,לפי תקופה,early (1931-1967),content,בא,1.75
alterman,לפי תקופה,early (1931-1967),content,כול,1.72
alterman,לפי תקופה,early (1931-1967),content,פה,1.7
alterman,לפי תקופה,early (1931-1967),content,עם,1.7
alterman,לפי תקופה,early (1931-1967),content,מדינה,1.67
alterman,לפי תקופה,early (1931-1967),content,כוח,1.66
alterman,לפי תקופה,early (1931-1967),content,בית,1.65
alterman,לפי תקופה,early (1931-1967),content,גדול,1.62
alterman,לפי תקופה,early (1931-1967),content,פנים,1.61
alterman,לפי תקופה,early (1931-1967),func,של,23.89
alterman,לפי תקופה,early (1931-1967),func,הוא,20.96
alterman,לפי תקופה,early (1931-1967),func,את,20.33
alterman,לפי תקופה,early (1931-1967),func,זה,18.53
alterman,לפי תקופה,early (1931-1967),func,על,15.8
alterman,לפי תקופה,early (1931-1967),func,כי,7.79
alterman,לפי תקופה,early (1931-1967),func,היי,7.69
alterman,לפי תקופה,early (1931-1967),func,כל,5.22
alterman,לפי תקופה,early (1931-1967),func,אלה,5.05
alterman,לפי תקופה,early (1931-1967),func,אני,4.8
alterman,לפי תקופה,early (1931-1967),func,אל,3.95
alterman,לפי תקופה,early (1931-1967),func,אלא,3.37
alterman,לפי תקופה,early (1931-1967),func,אם,3.32
alterman,לפי תקופה,early (1931-1967),func,אינו,3.28
alterman,לפי תקופה,early (1931-1967),func,מן,3.06
alterman,לפי תקופה,early (1931-1967),func,אשר,3.04
alterman,לפי תקופה,early (1931-1967),func,עם,2.9
alterman,לפי תקופה,early (1931-1967),func,כול,2.77
alterman,לפי תקופה,early (1931-1967),func,או,2.69
alterman,לפי תקופה,early (1931-1967),func,בין,2.64
alterman,לפי תקופה,early (1931-1967),func,כך,2.61
alterman,לפי תקופה,early (1931-1967),func,אך,2.61
alterman,לפי תקופה,early (1931-1967),func,לו,2.43
alterman,לפי תקופה,early (1931-1967),func,עד,2.12
alterman,לפי תקופה,early (1931-1967),func,עצם,1.81
alterman,לפי תקופה,early (1931-1967),func,כמו,1.6
alterman,לפי תקופה,early (1931-1967),func,לי,1.57
alterman,לפי תקופה,early (1931-1967),func,לפני,1.42
alterman,לפי תקופה,early (1931-1967),func,מתוך,1.37
alterman,לפי תקופה,early (1931-1967),func,כדי,1.28
alterman,לפי תקופה,early (1931-1967),feats,Number=Sing,392.1
alterman,לפי תקופה,early (1931-1967),feats,Gender=Masc,326.96
alterman,לפי תקופה,early (1931-1967),feats,Gender=Fem,187.3
alterman,לפי תקופה,early (1931-1967),feats,Number=Plur,141.14
alterman,לפי תקופה,early (1931-1967),feats,Person=3,99.94
alterman,לפי תקופה,early (1931-1967),feats,"Person=1,2,3",44.86
alterman,לפי תקופה,early (1931-1967),feats,Tense=Past,36.24
alterman,לפי תקופה,early (1931-1967),feats,"Gender=Fem,Masc",18.46
alterman,לפי תקופה,early (1931-1967),feats,Person=1,13.74
alterman,לפי תקופה,early (1931-1967),feats,Tense=Fut,8.4
alterman,לפי תקופה,early (1931-1967),feats,Tense=Pres,6.44
alterman,לפי תקופה,early (1931-1967),feats,Person=2,3.43
alterman,לפי תקופה,early (1931-1967),feats,Tense=Imp,0.34
alterman,לפי תקופה,early (1931-1967),feats,Number=Dual,0.09
alterman,לפי תקופה,early (1931-1967),pos_bi,NOUN NOUN,70.71
alterman,לפי תקופה,early (1931-1967),pos_bi,ADP NOUN,64.28
alterman,לפי תקופה,early (1931-1967),pos_bi,NOUN ADJ,47.14
alterman,לפי תקופה,early (1931-1967),pos_bi,VERB NOUN,32.52
alterman,לפי תקופה,early (1931-1967),pos_bi,VERB ADP,31.72
alterman,לפי תקופה,early (1931-1967),pos_bi,NOUN ADP,29.53
alterman,לפי תקופה,early (1931-1967),pos_bi,NOUN VERB,24.73
alterman,לפי תקופה,early (1931-1967),pos_bi,NOUN PRON,18.85
alterman,לפי תקופה,early (1931-1967),pos_bi,PRON VERB,17.12
alterman,לפי תקופה,early (1931-1967),pos_bi,ADV NOUN,16.41
alterman,לפי תקופה,early (1931-1967),pos_bi,ADV VERB,13.77
alterman,לפי תקופה,early (1931-1967),pos_bi,VERB ADV,12.65
alterman,לפי תקופה,early (1931-1967),pos_bi,PRON NOUN,10.18
alterman,לפי תקופה,early (1931-1967),pos_bi,ADJ NOUN,9.88
alterman,לפי תקופה,early (1931-1967),pos_bi,ADJ ADP,9.52
alterman,לפי תקופה,early (1931-1967),pos_bi,VERB VERB,9.43
alterman,לפי תקופה,early (1931-1967),pos_bi,AUX VERB,9.34
alterman,לפי תקופה,early (1931-1967),pos_bi,NOUN ADV,9.28
alterman,לפי תקופה,early (1931-1967),pos_bi,ADV ADV,7.87
alterman,לפי תקופה,early (1931-1967),pos_bi,ADJ ADJ,7.47
alterman,לפי תקופה,early (1931-1967),pos_bi,ADV ADP,7.46
alterman,לפי תקופה,early (1931-1967),pos_bi,DET NOUN,7.43
alterman,לפי תקופה,early (1931-1967),pos_bi,ADJ VERB,6.51
alterman,לפי תקופה,early (1931-1967),pos_bi,NOUN AUX,6.34
