author,word,cnll,characteristic_of
ahad_haam,בפשרה,12.9455,late
ahad_haam,גענאססענשאפט,12.6616,late
ahad_haam,לעווני,10.7681,late
ahad_haam,שפניתי,9.6551,late
ahad_haam,יודענשטאאט,9.228,late
ahad_haam,chronicle,9.1926,late
ahad_haam,הפורמולא,8.9932,late
ahad_haam,איגנטיוס,8.6584,late
ahad_haam,טנדנציא,8.5613,late
ahad_haam,הפרופגנדא,8.3813,late
ahad_haam,הפרנציסקני,8.2711,late
ahad_haam,טשרטר,8.1842,late
ahad_haam,האגיטציה,8.0048,late
ahad_haam,אפפענטליך,7.9725,late
ahad_haam,אלטניילנד,7.7614,late
ahad_haam,בשלימות,7.6406,late
ahad_haam,ועשאהו,7.4218,late
ahad_haam,הקריסיס,7.2812,late
ahad_haam,ולמגר,7.0436,late
ahad_haam,רעשה,6.6458,late
ahad_haam,לשלימות,6.6153,late
ahad_haam,יתוסף,6.4165,late
ahad_haam,ובאודיסא,6.3713,late
ahad_haam,באודיסה,6.2358,late
ahad_haam,להזדיין,6.13,late
ahad_haam,וככוחה,-16.2286,early
ahad_haam,יעבדוה,-13.8732,early
ahad_haam,נאחדת,-13.7265,early
ahad_haam,ספיקולציא,-11.8272,early
ahad_haam,לספציאליסטים,-10.7481,early
ahad_haam,בהומניות,-10.0842,early
ahad_haam,החורבנות,-9.6961,early
ahad_haam,להימלא,-9.1583,early
ahad_haam,הספיציאליסטים,-8.9585,early
ahad_haam,בהגיונות,-8.9273,early
ahad_haam,אלבו,-8.1344,early
ahad_haam,לאומו,-8.1169,early
ahad_haam,hartmann,-7.9355,early
ahad_haam,ולהעמידם,-7.9301,early
ahad_haam,באוירא,-7.8577,early
ahad_haam,ולבנים,-7.8369,early
ahad_haam,מחמדינו,-7.8263,early
ahad_haam,ספיציאליסט,-7.7434,early
ahad_haam,מנדלסזון,-7.7218,early
ahad_haam,נבכה,-7.6504,early
ahad_haam,geistes,-7.5908,early
ahad_haam,ננתח,-7.5702,early
ahad_haam,ומורכבת,-7.5207,early
ahad_haam,ויבנוה,-7.419,early
ahad_haam,הרריה,-7.3276,early
