author,word,cnll,characteristic_of
alterman,כוסלובאקיה,14.3526,late
alterman,כוסלובאקי,14.3508,late
alterman,הדמדום,10.9561,late
alterman,ואקואום,10.2276,late
alterman,ולנאצר,9.4129,late
alterman,הגאלאכסיות,9.3701,late
alterman,מאניפולאציות,9.101,late
alterman,דמדום,8.9175,late
alterman,ששייכותן,8.8217,late
alterman,ישראליזאציה,8.5326,late
alterman,לדמדום,8.098,late
alterman,סאכסס,7.8247,late
alterman,לדימוקראטיה,6.9529,late
alterman,ניכסון,6.4511,late
alterman,שמדינאינו,6.3896,late
alterman,שלחני,6.2541,late
alterman,פרוגראמאטי,6.2192,late
alterman,מוטלות,6.1563,late
alterman,לשומע,6.0732,late
alterman,המיפנה,6.0656,late
alterman,השתות,5.8507,late
alterman,מולטימיליונר,5.768,late
alterman,ריקותה,5.7518,late
alterman,נוסטאלגיה,5.6862,late
alterman,קיזינגר,5.6395,late
alterman,אוקופאציה,-13.6037,early
alterman,ליגאליסטי,-10.1332,early
alterman,"י""ט",-9.9092,early
alterman,"כ""ו",-8.7782,early
alterman,38,-8.0188,early
alterman,31,-7.4578,early
alterman,63,-7.3531,early
alterman,33,-7.2014,early
alterman,משנהו,-7.0715,early
alterman,באנפילאות,-7.026,early
alterman,והריהי,-6.5824,early
alterman,ההגבה,-6.5769,early
alterman,חותרת,-6.5194,early
alterman,שימורי,-6.4806,early
alterman,לבינה,-6.2552,early
alterman,32,-6.2405,early
alterman,ההארמוניה,-6.0763,early
alterman,נאמנותו,-6.0731,early
alterman,מדיינים,-5.941,early
alterman,בהונותיו,-5.924,early
alterman,לעצרת,-5.8842,early
alterman,אפוטרופסי,-5.8504,early
alterman,43,-5.8463,early
alterman,מרדוף,-5.6446,early
alterman,והמישחק,-5.5788,early
