feature,family,mean_early,mean_middle,mean_late,delta_raw,cohens_d,spearman_rho,p,q_bh,trend
pn_semicolon,punctuation,3.5554,2.9639,1.3097,-2.2457,-1.73,-0.604,7.56e-11,5.07e-09,decreases
std_sent_len,phraseology,25.8542,24.5293,18.8956,-6.9586,-1.418,-0.548,7.27e-09,2.44e-07,decreases
fw_כי,lexical,11.8251,9.2401,6.6309,-5.1942,-1.522,-0.539,1.51e-08,3.37e-07,decreases
fw_כן,lexical,2.7996,1.948,1.3737,-1.4258,-1.183,-0.513,8.88e-08,1.49e-06,decreases
mean_sent_len,phraseology,36.8012,34.5007,29.1174,-7.6838,-1.202,-0.5,2.11e-07,2.83e-06,decreases
pn_comma,punctuation,84.6964,82.2711,75.4827,-9.2137,-1.102,-0.431,1.14e-05,0.000127,decreases
fw_על,lexical,17.6341,16.3134,13.596,-4.0381,-1.003,-0.397,6.13e-05,0.000587,decreases
fw_של,lexical,5.7099,9.9496,10.3253,4.6154,1.106,0.374,0.000173,0.00145,increases
fw_מתוך,lexical,0.4109,0.9037,1.1814,0.7705,0.879,0.368,0.000223,0.00166,increases
pn_quote,punctuation,20.6469,35.8779,44.5826,23.9357,1.105,0.352,0.000434,0.00291,increases
fw_לפי,lexical,2.1907,1.693,1.3388,-0.852,-0.762,-0.325,0.00125,0.0076,decreases
mean_para_len,phraseology,104.609,86.7331,83.522,-21.087,-0.246,-0.321,0.00144,0.00803,decreases
fw_כל,lexical,11.3058,10.4315,8.8151,-2.4907,-0.682,-0.313,0.00192,0.0099,decreases
fw_בשביל,lexical,0.9906,1.9101,1.8462,0.8556,0.645,0.307,0.00235,0.0105,increases
fw_אם,lexical,6.9961,5.8635,4.8323,-2.1638,-0.754,-0.307,0.00232,0.0105,decreases
fw_אני,lexical,4.473,4.481,6.2479,1.7749,0.488,0.292,0.00392,0.0164,increases
fw_אבל,lexical,3.7165,3.6237,4.4208,0.7043,0.43,0.284,0.00502,0.0191,increases
pn_hyphen,punctuation,1.2801,2.1983,3.5727,2.2926,0.778,0.282,0.00535,0.0191,increases
fw_ה,lexical,0.5328,2.4556,2.742,2.2092,0.916,0.282,0.00542,0.0191,increases
fw_אחרי,lexical,1.3512,0.6247,0.853,-0.4982,-0.542,-0.274,0.00695,0.0225,decreases
fw_אשר,lexical,7.0725,3.3562,4.801,-2.2715,-0.496,-0.273,0.00704,0.0225,decreases
fw_זה,lexical,14.4765,17.061,17.3157,2.8392,0.583,0.257,0.0116,0.0352,increases
