feature,family,mean_early,mean_middle,mean_late,delta_raw,cohens_d,spearman_rho,p,q_bh,trend
fw_אלא,lexical,3.7151,5.3899,5.4972,1.7821,0.72,0.402,3.74e-08,2.5e-06,increases
pn_semicolon,punctuation,0.4394,0.1506,0.0198,-0.4196,-0.492,-0.369,5.54e-07,1.86e-05,decreases
pn_exclam,punctuation,0.8767,0.103,0.0695,-0.8072,-0.592,-0.356,1.43e-06,3.19e-05,decreases
fw_כך,lexical,2.7738,4.6556,3.8955,1.1217,0.506,0.306,4.02e-05,0.000605,increases
fw_אילו,lexical,0.6882,1.008,1.3643,0.6761,0.592,0.304,4.52e-05,0.000605,increases
std_sent_len,phraseology,16.7649,17.9743,20.4852,3.7204,0.642,0.28,0.000186,0.00208,increases
std_para_len,phraseology,2.8844,3.2613,3.2553,0.3709,0.691,0.271,0.000293,0.0028,increases
fw_כמו,lexical,1.4396,1.2249,0.8452,-0.5944,-0.468,-0.263,0.000443,0.00371,decreases
fw_אך,lexical,2.6643,3.195,3.6544,0.9901,0.494,0.26,0.00053,0.00394,increases
mean_sent_len,phraseology,26.4468,28.9941,30.9387,4.4919,0.556,0.255,0.000698,0.00468,increases
doc_len,phraseology,1701.5156,2336.4762,1131.1765,-570.3392,-0.528,-0.252,0.000809,0.00493,decreases
mean_para_len,phraseology,11.3513,10.8206,10.8128,-0.5385,-0.604,-0.243,0.00121,0.00678,decreases
fw_או,lexical,2.5695,3.8949,4.5447,1.9752,0.554,0.239,0.00151,0.00778,increases
fw_אל,lexical,3.801,2.7824,2.7726,-1.0285,-0.429,-0.231,0.00219,0.0105,decreases
fw_אם,lexical,3.5505,4.4841,4.4865,0.9359,0.362,0.223,0.00312,0.014,increases
pn_quote,punctuation,18.7283,20.4556,23.7241,4.9958,0.408,0.182,0.0161,0.0674,n.s.
fw_עצם,lexical,1.7162,1.4904,1.3755,-0.3407,-0.285,-0.175,0.0208,0.0821,n.s.
fw_לגבי,lexical,0.9575,1.7209,1.4688,0.5113,0.35,0.171,0.0245,0.091,n.s.
ttr,phraseology,0.5743,0.538,0.6175,0.0432,0.493,0.169,0.0262,0.0924,n.s.
pn_question,punctuation,1.8202,1.154,1.2445,-0.5757,-0.217,-0.162,0.0332,0.111,n.s.
fw_מתוך,lexical,1.4396,1.1124,1.1212,-0.3184,-0.249,-0.151,0.0468,0.149,n.s.
fw_זה,lexical,19.7454,21.6519,21.1934,1.448,0.204,0.15,0.0488,0.149,n.s.
fw_לאחר,lexical,0.9693,1.4967,1.4626,0.4934,0.339,0.147,0.0531,0.155,n.s.
fw_כמה,lexical,1.4179,0.946,1.9441,0.5262,0.326,0.141,0.0629,0.175,n.s.
fw_בו,lexical,1.1218,1.2035,0.9992,-0.1226,-0.102,-0.132,0.0836,0.213,n.s.
fw_על,lexical,15.9843,17.7779,16.5831,0.5988,0.112,0.131,0.0858,0.213,n.s.
fw_לה,lexical,1.2951,0.8452,0.9417,-0.3534,-0.232,-0.131,0.084,0.213,n.s.
fw_כן,lexical,1.3482,1.5864,1.7274,0.3792,0.273,0.126,0.0982,0.235,n.s.
fw_אשר,lexical,3.5768,2.7035,3.8246,0.2478,0.087,0.123,0.105,0.242,n.s.
fw_בתוך,lexical,0.8734,0.8287,0.7957,-0.0777,-0.07,-0.12,0.113,0.253,n.s.
fw_כל,lexical,5.2557,6.5188,6.435,1.1792,0.382,0.117,0.123,0.265,n.s.
mean_word_len,phraseology,4.3152,4.3488,4.3475,0.0323,0.248,0.113,0.137,0.286,n.s.
fw_כי,lexical,8.5662,9.0813,9.1971,0.6309,0.146,0.109,0.151,0.307,n.s.
fw_עשוי,lexical,1.0144,1.0943,0.9376,-0.0769,-0.055,0.098,0.198,0.39,n.s.
fw_לי,lexical,1.4865,1.0679,1.3496,-0.1369,-0.078,-0.087,0.255,0.468,n.s.
fw_יכול,lexical,0.6273,0.8392,0.8122,0.1849,0.193,0.086,0.258,0.468,n.s.
fw_שום,lexical,0.734,0.8361,1.0532,0.3192,0.18,0.086,0.257,0.468,n.s.
fw_אלה,lexical,5.4476,6.3435,5.902,0.4544,0.125,0.079,0.303,0.52,n.s.
fw_עד,lexical,2.0999,2.4659,2.6983,0.5984,0.286,0.077,0.312,0.52,n.s.
pn_maqaf,punctuation,14.1193,11.9024,17.1368,3.0175,0.198,-0.077,0.313,0.52,n.s.
fw_לו,lexical,2.4236,1.9949,2.4094,-0.0142,-0.006,-0.075,0.324,0.52,n.s.
pn_comma,punctuation,69.6948,66.5282,69.3596,-0.3352,-0.024,-0.075,0.326,0.52,n.s.
fw_נגד,lexical,0.6874,0.9534,0.8747,0.1873,0.17,0.071,0.35,0.545,n.s.
fw_כדי,lexical,1.2548,2.2244,1.5796,0.3248,0.211,0.067,0.383,0.584,n.s.
fw_הוא,lexical,20.9054,19.5923,19.1795,-1.726,-0.238,-0.062,0.42,0.625,n.s.
fw_מן,lexical,3.045,3.2427,3.3111,0.2661,0.12,0.059,0.437,0.634,n.s.
fw_אפשר,lexical,0.5318,1.0127,0.8138,0.282,0.269,0.058,0.445,0.634,n.s.
pn_hyphen,punctuation,13.1062,14.1056,10.0945,-3.0117,-0.202,0.055,0.474,0.638,n.s.
fw_את,lexical,20.2621,17.7324,18.8925,-1.3696,-0.195,-0.055,0.467,0.638,n.s.
fw_אני,lexical,4.9656,5.0245,5.2558,0.2902,0.08,0.054,0.476,0.638,n.s.
fw_מה,lexical,0.7247,0.8734,0.9344,0.2097,0.201,0.048,0.531,0.698,n.s.
