author,period,label,rank,entity,mentions
ahad_haam,post-1897,PER,1,"הרמב""ם",170
ahad_haam,post-1897,PER,2,משה,36
ahad_haam,post-1897,PER,3,הרצל,26
ahad_haam,post-1897,PER,4,פינסקר,17
ahad_haam,post-1897,PER,5,משיח,16
ahad_haam,post-1897,PER,6,דוד,15
ahad_haam,post-1897,PER,7,ליליענבלום,15
ahad_haam,post-1897,PER,8,ניטשה,15
ahad_haam,post-1897,PER,9,אנטוקולסקי,13
ahad_haam,post-1897,PER,10,אחד העם,11
ahad_haam,post-1897,PER,11,לוי,11
ahad_haam,post-1897,PER,12,דובנאוו,10
ahad_haam,post-1897,PER,13,פרעה,9
ahad_haam,post-1897,PER,14,"חכי""ח",9
ahad_haam,post-1897,PER,15,ישוע,8
ahad_haam,post-1897,GPE,1,ישראל,302
ahad_haam,post-1897,GPE,2,"בא""י",80
ahad_haam,post-1897,GPE,3,ביפו,63
ahad_haam,post-1897,GPE,4,שביפו,41
ahad_haam,post-1897,GPE,5,"לא""י",33
ahad_haam,post-1897,GPE,6,בישראל,32
ahad_haam,post-1897,GPE,7,הארץ,24
ahad_haam,post-1897,GPE,8,"א""י",24
ahad_haam,post-1897,GPE,9,לישראל,22
ahad_haam,post-1897,GPE,10,אלטניילנד,21
ahad_haam,post-1897,GPE,11,צרפת,18
ahad_haam,post-1897,GPE,12,וסוריא,17
ahad_haam,post-1897,GPE,13,יפו,16
ahad_haam,post-1897,GPE,14,מישראל,15
ahad_haam,post-1897,GPE,15,באנגליא,12
ahad_haam,post-1897,LOC,1,בארץ ישראל,68
ahad_haam,post-1897,LOC,2,ארץ ישראל,45
ahad_haam,post-1897,LOC,3,ציון,42
ahad_haam,post-1897,LOC,4,"בא""י",30
ahad_haam,post-1897,LOC,5,אירופא,20
ahad_haam,post-1897,LOC,6,"א""י",14
ahad_haam,post-1897,LOC,7,בארץ-ישראל,12
ahad_haam,post-1897,LOC,8,אשכנז,11
ahad_haam,post-1897,LOC,9,בארץ,10
ahad_haam,post-1897,LOC,10,לארץ ישראל,9
ahad_haam,post-1897,LOC,11,ארץ,7
ahad_haam,post-1897,LOC,12,ארץ המזרח,7
ahad_haam,post-1897,LOC,13,המערב,6
ahad_haam,post-1897,LOC,14,הר הבית,6
ahad_haam,post-1897,LOC,15,הכרמל,6
ahad_haam,post-1897,ORG,1,"חכי""ח",20
ahad_haam,post-1897,ORG,2,הועד הפועל,17
ahad_haam,post-1897,ORG,3,"יק""א",11
ahad_haam,post-1897,ORG,4,השלח,10
ahad_haam,post-1897,ORG,5,הקרן הלאומית,9
ahad_haam,post-1897,ORG,6,תוגרמא,8
ahad_haam,post-1897,ORG,7,אחיאסף,8
ahad_haam,post-1897,ORG,8,לבנים,7
ahad_haam,post-1897,ORG,9,הבנק הציוני,6
ahad_haam,post-1897,ORG,10,ציון,6
ahad_haam,post-1897,ORG,11,אלטניילנד,6
ahad_haam,post-1897,ORG,12,"איק""א",6
ahad_haam,post-1897,ORG,13,הקונפרנציא,6
ahad_haam,post-1897,ORG,14,ממשלת תוגרמא,5
ahad_haam,post-1897,ORG,15,באודיסא,5
ahad_haam,pre-1897,PER,1,ליליענבלום,17
ahad_haam,pre-1897,PER,2,לעווינסקי,16
ahad_haam,pre-1897,PER,3,"לל""ב",13
ahad_haam,pre-1897,PER,4,אברהם,10
ahad_haam,pre-1897,PER,5,"מל""ל",10
ahad_haam,pre-1897,PER,6,קיבריק,8
ahad_haam,pre-1897,PER,7,הרמב״ם,6
ahad_haam,pre-1897,PER,8,ווייצמן,6
ahad_haam,pre-1897,PER,9,ה',5
ahad_haam,pre-1897,PER,10,קופרניקוס,5
ahad_haam,pre-1897,PER,11,צונץ,5
ahad_haam,pre-1897,PER,12,וויסאצקי,5
ahad_haam,pre-1897,PER,13,מרדכי עליאשברג,5
ahad_haam,pre-1897,PER,14,"הראב""ע",5
ahad_haam,pre-1897,PER,15,"הרמב""ם",5
ahad_haam,pre-1897,GPE,1,ישראל,233
ahad_haam,pre-1897,GPE,2,בישראל,33
ahad_haam,pre-1897,GPE,3,"בא""י",23
ahad_haam,pre-1897,GPE,4,ציון,17
ahad_haam,pre-1897,GPE,5,צרפת,16
ahad_haam,pre-1897,GPE,6,הארץ,15
ahad_haam,pre-1897,GPE,7,ירושלים,13
ahad_haam,pre-1897,GPE,8,לישראל,11
ahad_haam,pre-1897,GPE,9,מישראל,10
ahad_haam,pre-1897,GPE,10,ביפו,10
ahad_haam,pre-1897,GPE,11,"לא""י",10
ahad_haam,pre-1897,GPE,12,בצרפת,10
ahad_haam,pre-1897,GPE,13,סדיגורא,10
ahad_haam,pre-1897,GPE,14,"שבחו""צ",8
ahad_haam,pre-1897,GPE,15,לאמריקא,7
ahad_haam,pre-1897,LOC,1,ציון,67
ahad_haam,pre-1897,LOC,2,בארץ ישראל,39
ahad_haam,pre-1897,LOC,3,ארץ ישראל,25
ahad_haam,pre-1897,LOC,4,"א""י",12
ahad_haam,pre-1897,LOC,5,"בא""י",11
ahad_haam,pre-1897,LOC,6,אירופא,9
ahad_haam,pre-1897,LOC,7,לארץ ישראל,7
ahad_haam,pre-1897,LOC,8,בארץ,7
ahad_haam,pre-1897,LOC,9,המערב,5
ahad_haam,pre-1897,LOC,10,הארץ,5
ahad_haam,pre-1897,LOC,11,לארץ,3
ahad_haam,pre-1897,LOC,12,להארץ,3
ahad_haam,pre-1897,LOC,13,מארץ ישראל,3
ahad_haam,pre-1897,LOC,14,"באה""ק",3
ahad_haam,pre-1897,LOC,15,ישראל,2
ahad_haam,pre-1897,ORG,1,המליץ,11
ahad_haam,pre-1897,ORG,2,האוצר,9
ahad_haam,pre-1897,ORG,3,השלח,8
ahad_haam,pre-1897,ORG,4,כנסת ישראל,7
ahad_haam,pre-1897,ORG,5,באודיסא,5
ahad_haam,pre-1897,ORG,6,ציון,3
ahad_haam,pre-1897,ORG,7,הועד הפועל,3
ahad_haam,pre-1897,ORG,8,אחיאסף,3
ahad_haam,pre-1897,ORG,9,ההסתדרות,3
ahad_haam,pre-1897,ORG,10,Cf,2
ahad_haam,pre-1897,ORG,11,־ציון,2
ahad_haam,pre-1897,ORG,12,ההסתדרות הציונית,2
ahad_haam,pre-1897,ORG,13,אגודת בני משה,2
ahad_haam,pre-1897,ORG,14,"חב""ד",2
ahad_haam,pre-1897,ORG,15,הלוקומוטיב,1
