center_year,start_year,end_year,n,delta
1891.0,1889,1891,15,0.370794016477419
1891.0,1889,1892,15,0.3451089173219923
1891.0,1891,1893,15,0.3179640798740492
1892.0,1891,1893,15,0.3223219757645981
1893.0,1891,1894,15,0.2897157256670532
1893.0,1891,1897,15,0.2749936305102723
1894.0,1892,1897,15,0.2449151706870402
1895.0,1893,1897,15,0.2342158574204459
1897.0,1894,1898,15,0.2135413778441048
1897.0,1895,1898,15,0.2006282547707134
1898.0,1897,1898,15,0.1985056853823259
1898.0,1897,1898,15,0.1906144807136065
1898.0,1897,1899,15,0.2121285091290628
1898.0,1898,1901,15,0.2073271422602619
1899.0,1898,1902,15,0.2076130659123835
1900.0,1898,1903,15,0.2177162486487107
1901.0,1899,1903,15,0.2467091378665993
1902.0,1900,1903,15,0.2330671947707697
1903.0,1901,1904,15,0.2189927582434577
1903.0,1902,1907,15,0.2241589056340655
1904.0,1903,1907,15,0.2433384914228535
1906.0,1903,1910,15,0.2313497464262401
1907.0,1904,1911,15,0.2591473693380013
1909.0,1905,1912,15,0.2926785112431229
1910.0,1907,1912,15,0.3307014247005255
1911.0,1908,1922,15,0.3175479815977583
1912.0,1910,1924,15,0.356896152616823
1922.0,1911,1928,15,0.4240917424600379
