center_year,start_year,end_year,n,delta
1891.0,1889,1891,15,0.0
1891.0,1889,1892,15,0.135057561205782
1891.0,1891,1893,15,0.2051627302007208
1892.0,1891,1893,15,0.2741417919812073
1893.0,1891,1894,15,0.2926431900842092
1893.0,1891,1897,15,0.3132417303457028
1894.0,1892,1897,15,0.3387018032055198
1895.0,1893,1897,15,0.3242551552380638
1897.0,1894,1898,15,0.3803909149559685
1897.0,1895,1898,15,0.4315635861387126
1898.0,1897,1898,15,0.4581391409366192
1898.0,1897,1898,15,0.4537083576723327
1898.0,1897,1899,15,0.4878894537055498
1898.0,1898,1901,15,0.4669004225808631
1899.0,1898,1902,15,0.4683950663509548
1900.0,1898,1903,15,0.4912153156546243
1901.0,1899,1903,15,0.5449012316792959
1902.0,1900,1903,15,0.5362816627735447
1903.0,1901,1904,15,0.5099089818167017
1903.0,1902,1907,15,0.5264029345324509
1904.0,1903,1907,15,0.5362562266246046
1906.0,1903,1910,15,0.5073724552962737
1907.0,1904,1911,15,0.5384373522276418
1909.0,1905,1912,15,0.5890017544774473
1910.0,1907,1912,15,0.6079548837605189
1911.0,1908,1922,15,0.5891235609019333
1912.0,1910,1924,15,0.6196953396241488
1922.0,1911,1928,15,0.6616413767959524
