center_year,start_year,end_year,n,delta
1933.0,1931,1938,15,0.0
1933.0,1932,1940,15,0.1255078776777857
1938.0,1933,1949,15,0.1931255637055131
1939.0,1933,1955,15,0.2881552016942018
1948.0,1934,1963,15,0.4172395087309433
1951.0,1938,1964,15,0.4886538564116743
1962.0,1940,1967,15,0.5326989056605471
1963.0,1950,1967,15,0.6237432220397978
1967.0,1959,1967,15,0.6388582519338629
1967.0,1963,1967,15,0.6587998683595243
1967.0,1965,1967,15,0.7195195193960904
1967.0,1967,1967,15,0.7564843769336917
1967.0,1967,1967,15,0.7489285149642629
1967.0,1967,1967,15,0.7764245303308713
1967.0,1967,1967,15,0.7907263056915413
1967.0,1967,1967,15,0.7802124085053449
1967.0,1967,1967,15,0.7379996848338343
1967.0,1967,1968,15,0.6901933063947309
1967.0,1967,1968,15,0.6873795343656598
1968.0,1967,1968,15,0.6737973900710239
1968.0,1967,1968,15,0.684230934066189
1968.0,1967,1968,15,0.721017760832629
1968.0,1968,1968,15,0.7454649491276283
1968.0,1968,1968,15,0.7387548655632953
1968.0,1968,1968,15,0.7255392353889489
1968.0,1968,1968,15,0.7081257924605575
1968.0,1968,1968,15,0.698239023326286
1968.0,1968,1968,15,0.7240921455808884
1968.0,1968,1968,15,0.7222660662578377
1968.0,1968,1968,15,0.7298108796610442
1968.0,1968,1968,15,0.7210020320349045
1968.0,1968,1969,15,0.7237108294941477
1968.0,1968,1969,15,0.6854203633272529
1969.0,1968,1969,15,0.666239108854524
1969.0,1968,1969,15,0.6673878226996266
1969.0,1968,1969,15,0.6661875735392704
1969.0,1969,1969,15,0.6502138427430896
1969.0,1969,1969,15,0.6537841272742114
1969.0,1969,1969,15,0.6891082242541376
1969.0,1969,1969,15,0.6717601895729748
1969.0,1969,1969,15,0.6638634443693179
1969.0,1969,1969,15,0.655426580723063
1969.0,1969,1969,15,0.6504062291101027
1969.0,1969,1969,15,0.6497182817414392
1969.0,1969,1969,15,0.6698609551463836
1969.0,1969,1969,15,0.6769408617148743
1969.0,1969,1969,15,0.684321927424263
1969.0,1969,1969,15,0.7111354926687049
1969.0,1969,1970,15,0.6824789891032738
1969.0,1969,1970,15,0.6865969550630995
1969.0,1969,1970,15,0.665491063059163
1970.0,1969,1970,15,0.6280398951965834
1970.0,1969,1970,15,0.6483679672539812
1970.0,1970,1970,15,0.7018413155983113
