Unnamed: 0,early,late,middle,overall
"pn_""",0.5881,0.2711,0.1286,0.3293
pn_„,0.0308,0.0043,0.7497,0.2616
fw_כי,0.0295,0.4181,0.0641,0.1706
pn_–,0.2247,0.0124,0.1361,0.1244
depbi_dep.VERB,0.065,0.2305,0.0115,0.1024
posbi_NOUN.PROPN,0.0866,0.2045,0.0116,0.1009
posbi_PUNCT.SCONJ,0.0279,0.2115,0.0478,0.0957
pn_־,0.0153,0.1429,0.109,0.0891
depbi_nsubj.NOUN,0.1565,0.0041,0.0888,0.0832
mrf_Tense=Past,0.1642,0.0309,0.0344,0.0765
phr_mean_word_len,0.1006,0.0042,0.0993,0.068
dep_conj,0.1127,0.0422,0.0485,0.0678
fw_ה,0.0722,0.0014,0.1257,0.0664
fw_מפני,0.0035,0.0355,0.1538,0.0643
pos_SCONJ,0.1592,0.0198,0.0127,0.0639
dep_dep,0.0433,0.117,0.0287,0.063
fw_אל,0.0505,0.0221,0.1071,0.0599
depbi_case:gen.PROPN,0.0011,0.1334,0.0404,0.0583
depbi_conj.NOUN,0.0812,0.0787,0.0117,0.0572
pn_',0.0594,0.0024,0.1027,0.0548
depbi_cc.NOUN,0.0085,0.0982,0.0569,0.0545
mrf_Number=Plur,0.0415,0.091,0.0308,0.0544
fw_מן,0.1259,0.0238,0.0128,0.0541
fw_על,0.0794,0.0662,0.0139,0.0532
dep_case:gen,0.1046,0.039,0.0066,0.0501
depbi_punct.VERB,0.0133,0.0956,0.0372,0.0487
fw_אשר,0.0868,0.0299,0.0278,0.0482
phr_ttr,0.0105,0.0854,0.0484,0.0481
depbi_punct.ADJ,0.0279,0.0932,0.0202,0.0471
mrf_Tense=Pres,0.0072,0.1149,0.0188,0.0469
"mrf_Gender=Fem,Masc",0.091,0.0175,0.0217,0.0434
depbi_aux.VERB,0.0727,0.0028,0.0506,0.042
pn_;,0.0609,0.0551,0.0096,0.0419
pn_-,0.0609,0.038,0.024,0.041
fw_בשביל,0.0928,0.0181,0.012,0.041
dep_mark,0.0321,0.027,0.0559,0.0384
pn_.,0.0477,0.0235,0.0401,0.0371
phr_std_sent_len,0.0071,0.0462,0.0576,0.037
dep_compound:affix,0.0854,0.0098,0.0148,0.0367
fw_כול,0.0492,0.0057,0.0534,0.0361
