Unnamed: 0,early,late,middle,overall
dep_root,0.0708,0.2724,0.0221,0.1218
pn_–,0.0213,0.1012,0.1904,0.1043
fw_אלא,0.146,0.1331,0.0134,0.0975
dep_conj,0.2138,0.0207,0.0445,0.093
fw_כך,0.0992,0.0075,0.1397,0.0821
phr_mean_sent_len,0.027,0.2042,0.0053,0.0788
posbi_VERB.ADJ,0.1484,0.069,0.0022,0.0732
"pn_""",0.061,0.1292,0.0192,0.0698
posbi_PRON.AUX,0.01,0.1427,0.0555,0.0694
posbi_PUNCT.ADP,0.1289,0.05,0.0263,0.0684
mrf_Person=3,0.0424,0.015,0.1348,0.0641
pn_.,0.0117,0.147,0.0196,0.0594
mrf_Tense=Fut,0.0427,0.0154,0.1153,0.0578
dep_obl,0.0856,0.0318,0.055,0.0575
pos_CCONJ,0.0296,0.1205,0.0139,0.0547
posbi_SCONJ.VERB,0.0074,0.0883,0.0658,0.0538
dep_case,0.119,0.0065,0.0319,0.0525
posbi_VERB.PRON,0.0087,0.1016,0.0439,0.0514
posbi_NOUN.NUM,0.0178,0.1162,0.0171,0.0504
phr_mean_word_len,0.0296,0.1118,0.0093,0.0503
dep_parataxis,0.0725,0.0505,0.0271,0.05
depbi_appos.NOUN,0.0058,0.0588,0.0842,0.0496
depbi_case.NOUN,0.1117,0.0087,0.0244,0.0483
depbi_obl.ADJ,0.0542,0.0084,0.0767,0.0464
posbi_NOUN.PUNCT,0.0861,0.0192,0.0296,0.0449
phr_ttr,0.0429,0.02,0.069,0.044
pos_DET,0.0978,0.0151,0.0136,0.0422
fw_על,0.0191,0.0547,0.052,0.0419
dep_appos,0.0095,0.047,0.0676,0.0414
posbi_VERB.PROPN,0.0227,0.0122,0.0831,0.0393
fw_כמה,0.0025,0.0646,0.0501,0.0391
depbi_conj.VERB,0.0726,0.013,0.031,0.0389
dep_nmod,0.0195,0.0438,0.052,0.0384
depbi_fixed.ADP,0.0666,0.0195,0.029,0.0384
depbi_punct.VERB,0.0322,0.0068,0.0754,0.0381
pos_PUNCT,0.0774,0.0124,0.0206,0.0368
depbi_det.NOUN,0.0734,0.0187,0.0179,0.0367
posbi_NOUN.PROPN,0.0359,0.0601,0.0108,0.0356
pos_PRON,0.0159,0.0726,0.0171,0.0352
mrf_Gender=Masc,0.0105,0.0805,0.0118,0.0343
